0: 594ms
1: 673ms
2: 674ms
3: 676ms
4: 677ms
5: 679ms
6: 683ms
7: 685ms
8: 686ms
9: 687ms
10: 687ms
11: 688ms
12: 688ms
13: 688ms
14: 689ms
15: 689ms
16: 689ms
17: 690ms
18: 690ms
19: 690ms
20: 691ms
21: 691ms
22: 692ms
23: 692ms
24: 692ms
25: 693ms
26: 693ms
27: 694ms
28: 694ms
29: 694ms
30: 695ms
31: 695ms
32: 695ms
33: 696ms
34: 696ms
35: 696ms
36: 697ms
37: 697ms
38: 697ms
39: 698ms
40: 698ms
41: 698ms
42: 699ms
43: 699ms
44: 699ms
45: 700ms
46: 700ms
47: 700ms
48: 701ms
49: 701ms
50: 701ms
51: 702ms
52: 702ms
53: 702ms
54: 702ms
55: 703ms
56: 703ms
57: 703ms
58: 704ms
59: 704ms
60: 704ms
61: 704ms
62: 705ms
63: 705ms
64: 705ms
65: 706ms
66: 706ms
67: 706ms
68: 707ms
69: 707ms
70: 707ms
71: 707ms
72: 708ms
73: 708ms
74: 708ms
75: 709ms
76: 709ms
77: 709ms
78: 710ms
79: 710ms
80: 710ms
81: 710ms
82: 711ms
83: 711ms
84: 712ms
85: 712ms
86: 713ms
87: 713ms
88: 713ms
89: 713ms
90: 714ms
91: 714ms
92: 714ms
93: 714ms
94: 715ms
95: 715ms
96: 715ms
97: 715ms
98: 716ms
99: 716ms
100: 716ms
101: 717ms
102: 717ms
103: 717ms
104: 717ms
105: 718ms
106: 718ms
107: 718ms
108: 718ms
109: 719ms
110: 719ms
111: 719ms
112: 719ms
113: 720ms
114: 720ms
115: 720ms
116: 720ms
117: 721ms
118: 721ms
119: 721ms
120: 721ms
121: 722ms
122: 722ms
123: 722ms
124: 722ms
125: 723ms
126: 723ms
127: 723ms
128: 724ms
129: 724ms
130: 724ms
131: 725ms
132: 725ms
133: 725ms
134: 726ms
135: 726ms
136: 726ms
137: 726ms
138: 727ms
139: 727ms
140: 727ms
141: 728ms
142: 728ms
143: 729ms
144: 729ms
145: 729ms
146: 730ms
147: 730ms
148: 730ms
149: 730ms
150: 731ms
151: 731ms
152: 731ms
153: 732ms
154: 732ms
155: 732ms
156: 732ms
157: 733ms
158: 733ms
159: 733ms
160: 733ms
161: 734ms
162: 734ms
163: 734ms
164: 734ms
165: 735ms
166: 735ms
167: 735ms
168: 735ms
169: 736ms
170: 736ms
171: 736ms
172: 737ms
173: 737ms
174: 737ms
175: 738ms
176: 738ms
177: 738ms
178: 738ms
179: 739ms
180: 739ms
181: 739ms
182: 739ms
183: 740ms
184: 740ms
185: 740ms
186: 740ms
187: 741ms
188: 741ms
189: 741ms
190: 741ms
191: 742ms
192: 742ms
193: 742ms
194: 743ms
195: 743ms
196: 743ms
197: 743ms
198: 744ms
199: 744ms
200: 745ms
201: 753ms
202: 753ms
203: 753ms
204: 754ms
205: 754ms
206: 754ms
207: 754ms
208: 755ms
209: 755ms
210: 755ms
223: 755ms
224: 756ms
